iter	Passed	Remaining
959	5435	226
960	5440	220
961	5446	215
962	5451	209
963	5456	203
964	5461	198
965	5466	192
966	5470	186
967	5476	181
968	5481	175
969	5486	169
970	5491	163
971	5495	158
972	5501	152
973	5506	146
974	5511	141
975	5516	135
976	5521	129
977	5526	124
978	5531	118
979	5536	112
980	5541	107
981	5546	101
982	5551	96
983	5557	90
984	5562	84
985	5568	79
986	5574	73
987	5580	67
988	5585	62
989	5591	56
990	5597	50
991	5603	45
992	5609	39
993	5614	33
994	5619	28
995	5625	22
996	5631	16
997	5636	11
998	5642	5
999	5647	0
